EventId,EventTemplate,Occurrences
aee7886a,"[SeatService getLeftTicketOfInterval] The result of getTrainTypeResult is Response(status=1, msg=Success query Train by trip id, data=TrainType(id=ZhiDa, economyClass=2147483647, confortClass=2147483647, averageSpeed=120))",4
725cfd6e,[SeatService <*> The request seat type is <*> and the total num is 2147483647,371
fe5d89ba,"Get Order tickets result is : <*> <*> <*> <*> <*> X-Content-Type-Options=[nosniff], X-XSS-Protection=[1; mode=block], Cache-Control=[no-cache, no-store, max-age=0, must-revalidate], Pragma=[no-cache], Expires=[0], X-Frame-Options=[DENY], Content-Type=[application/json;charset=UTF-8], Transfer-Encoding=[chunked], <*> <*> <*> 2022 <*> GMT]}>",256
d22ba1e8,"[SeatService getLeftTicketOfInterval] The result of getRouteResult is Response(status=1, msg=[Get Route By Trip ID] Success, data=Route(id=9fc9c261-3263-4bfa-82f8-bb44e06b2f52, stations=[nanjing, xuzhou, jinan, beijing], distances=[0, 500, 700, 1200], startStationId=nanjing, terminalStationId=beijing))",4
22cf32c2,[Get Route By <*> <*> <*>,53
55c7fa76,[SeatService getLeftTicketOfInterval] TrainNumber start with <*> <*>,310
23d89e09,[Basic Information Service][Query For Station Id] Station Id: <*> <*>,1460
58357d3e,"Order other Ticket info  is: Response(status=1, msg=Success, data=TravelResult(status=true, percent=1.0, trainType=TrainType(id=ZhiDa, economyClass=2147483647, confortClass=2147483647, averageSpeed=120), prices={confortClass=500.0, economyClass=175.0}))",2
9e53202f,"Ticket info  is: Response(status=1, msg=Success, data=TravelResult(status=true, percent=1.0, trainType=TrainType(id=ZhiDa, economyClass=2147483647, confortClass=2147483647, averageSpeed=120), prices={confortClass=500.0, economyClass=175.0}))",2
7cd7c11d,route.getDistances().size : <*>,217
0650e38c,startingPlaceId : <*> : <*>,217
6b66b393,indexStart : <*> __ indexEnd : <*>,217
83833b8d,"Response Resutl to String Response(status=1, msg=Success, <*> <*> <*> <*> firstClassPriceRate=1.0})",224
847b8dfd,"[Basic Information Service][Query For Price Config] RouteId: <*> ,TrainType: <*>",218
1344ea20,[Basic Information Service][Get Route By Id] Route <*>,218
2501cda6,[Basic Information Service][Query Train Type] Train Type: <*>,218
3a21cbd6,[Basic Information Service][Check Station Exists] Station Name: <*> <*>,436
5788ea86,[Travel Service] Query TripResponse,142
c606810d,"Route is: <*> <*> shanghai], distances=[0, <*> <*> terminalStationId='shanghai'}",229
8242e916,"Route is: Route{id='a3f256c1-0e43-4f7d-9c21-121bf258101f', stations=[nanjing, suzhou, shanghai], distances=[0, 200, 250], startStationId='nanjing', terminalStationId='shanghai'}",118
124fd0e1,"Routes Response is : Response(status=1, msg=Success, data={id=a3f256c1-0e43-4f7d-9c21-121bf258101f, stations=[nanjing, suzhou, shanghai], distances=[0, 200, 250], startStationId=nanjing, terminalStationId=shanghai})",118
64cdd90f,"Route is: Route{id='92708982-77af-4318-be25-57ccb0ff69ad', stations=[nanjing, zhenjiang, wuxi, suzhou, shanghai], distances=[0, 100, 150, 200, 250], startStationId='nanjing', terminalStationId='shanghai'}",193
8b37b0c1,"Routes Response is : Response(status=1, msg=Success, data={id=92708982-77af-4318-be25-57ccb0ff69ad, stations=[nanjing, zhenjiang, wuxi, suzhou, shanghai], distances=[0, 100, 150, 200, 250], startStationId=nanjing, terminalStationId=shanghai})",193
408b5f24,"Name List is: Response(status=1, msg=Success, data=[Nan Jing, Shang Hai Hong Qiao, Shang Hai, Bei Jing, Shang Hai, Bei Jing, <*> <*> <*> <*> Shang Hai, Su Zhou])",20
8dc3ba2f,"Stations name list is : Response(status=1, msg=Success, data=[Shang Hai, Tai Yuan])",76
3ec98c8c,[Order Service][Query Order] Get order num: <*>,47
cd253b31,[Order Service][Query Order][Step 1] Get Orders Number of Account: <*>,47
0be8f562,Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is <*> <*> <*> with root cause,30
1171a9a4,Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is java.lang.ArrayIndexOutOfBoundsException: -1] with root cause,1
c27bdbe3,"<*> <*> The result of getTrainTypeResult is Response(status=1, msg=Success, <*> economyClass=2147483647, confortClass=2147483647, <*>",308
bacbd5fd,Left ticket info is: <*> <*> <*>,84
6cb16b08,<*> <*> <*> <*> Date: <*> <*> <*> 08:00:00 CST 2022,219
d5505cdf,<*> <*> The result of getRouteResult is Success,375
208e0c2b,[Order Service][Calculate Sold Ticket] Get Orders Number: 0,79
d6586f80,[Preserve Service] [Step <*> <*> <*>,354
885d8472,[Preserve Service] [Step <*> Check <*> <*>,151
637e57e3,[Preserve Other Service][Get Trip All Detail Information] Getting....,72
efec76c4,[Preserve Service][Step 2] Complete,70
382f9618,[Preserve Service] [Step 2] Contacts Id: <*>,81
4d0826cf,[Preserve Other Service][Check Security] Checking....,84
1be6f0cd,[Preserve Service][Preserve] Account order from <*> <*> -----> <*> <*> at <*> <*> <*> 08:00:00 CST 2022,81
806b23f0,[Preserve Service][Send Email],61
7e8e0cbb,[Preserve Service][Step 7] Do not need to consign,60
7b035a07,[Preserve Service],61
69bf2683,[Preserve Service][Step <*> Buy <*> Success,95
6e12b265,[Cancel Order <*> Order <*> <*>,74
eed8ea75,[Food Service]Try to Create a FoodOrder!,62
6b8120dd,[Preserve Service] [Step 4] Do Order Complete,61
1f56c6d8,[Preserve Service][Step <*> Do not need to buy <*>,27
ab87ef3d,[Preserve Service][Add food Order] Creating....,62
2cfb9543,[Order Service][Order Create] Success.,24
4872010b,[Order Service][Order Create] Price: <*>,24
288fbede,<*> <*> Order] Ready <*> Order.,41
18b5e960,[Order Service][Create Order] Create Order form <*> ---> <*> at <*> <*> <*> 08:00:00 CST 2022,24
41b6378f,[Order Service][Verify Login] Success,24
c533cb7a,[Preserve Service][Order Price] Price is: <*>,61
cebbf5fb,[SeatService distributeSeat] Use a new seat number! <*>,51
8b12767f,"[SeatService distributeSeat 1] The result of getTrainTypeResult is Response(status=1, msg=Success, <*> economyClass=2147483647, confortClass=2147483647, <*>",61
e826aa83,Left ticket info is : <*> <*> <*> <*> <*>,44
5546fc7d,Left ticket info is empty,128
4036cf5e,[SeatService distributeSeat] TrainNumber start with G|D,61
1e01fff7,[Preserve Other Service][Get Station Name],126
f4419aa4,"TripAllDetail:TripAllDetail(status=false, message=null, <*> <*> <*> <*> <*> startingTime=Sat May 04 <*> CST 2013, endTime=Sat May 04 <*> CST 2013, <*> <*> <*> <*> <*> startingStationId=shanghai, stationsId=suzhou, terminalStationId=taiyuan, startingTime=Sat May 04 <*> CST 2013, endTime=Sat May 04 <*> CST 2013))",63
3096319a,"<*> <*> <*> <*> <*> startingTime=Sat May 04 <*> CST 2013, endTime=Sat May 04 <*> CST 2013, <*> <*>",63
6ef70142,"Name List is: Response(status=1, msg=Success, data=[Nan Jing, Shang Hai Hong Qiao, Shang Hai, Bei Jing, Shang Hai, Bei Jing, <*> <*> <*> <*>",8
cac59084,Opened connection <*> <*> to <*>,1105
706e88b2,<*> <*> Order Travel Date: <*> <*> <*> 08:00:00 CST 2022,34
63cabbf2,[Food Service]Get Train Food List!,63
270e4a7c,[Food Service]Get the Get Food Request!,65
23632470,<*> start=Shang Hai end=Su Zhou <*>,52
3b9959ca,[Assurances Service][Get Assurance Type],60
72411cf5,<*> <*> <*> <*> No contacts according to contacts id,12
08744531,<*> USER ID,102
e423af0c,<*> TOKEN,102
4471ac9f,LOGIN USER <*> __ <*> __,72
12b853f4,UsernamePasswordAuthenticationToken username <*>,167
e5c70770,"Name List is: Response(status=1, msg=Success, data=[Nan Jing, Shang Hai Hong Qiao, Shang Hai, Bei Jing, Shang Hai, Bei Jing])",5
81cfb868,GET Code By cookieId <*> is <*>,54
5d2e6775,receivedCode <*>,54
0d5791f8,LOGIN USER <*> __ <*> __ <*>,46
01cf6686,Closed connection <*> <*> to <*> because there was a socket exception raised on another connection from this pool.,270
294ca27f,Shutting down ExecutorService <*>,725
f9f26692,Unregistering JMX-exposed beans on shutdown,687
f2ac9522,<*> _org.springframework.integration.errorLogger,1437
55b75ed2,Channel <*> has <*> subscriber(s).,1437
fa457db5,<*> {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel,1437
89784176,<*> beans in phase <*>,1452
f3ad1b0e,<*> <*> startup date <*> <*> <*> <*> CST 2022]; root of context hierarchy,1462
fcd9721b,Started <*> in <*> seconds (JVM running for <*>,750
470d576f,Tomcat <*> <*> port(s): <*> (http),1522
6a60802a,Generating unique operation named: <*>,17047
7e616b81,Scanning for api listing references,681
caf7c7b8,Found 1 custom documentation plugin(s),681
cbc76583,Context refreshed,681
b30b465d,Registering beans for JMX exposure on startup,750
7bdc3355,[Price Service][Create New Price Config],188
86a78a79,[Consign Price Service][Create New Price Config],19
6caa8f4e,[Consign price service] [Init data operation],20
38a4800d,Initializing ExecutorService <*>,792
56b25128,"s= Spicy hot noodles,5_Soup,3.7_Oily bean curd,2",22
f7cae287,"s= Spring rolls,1.5_Vegetable soup,0.8_Rice and vegetable roll,1",22
230736d8,"s= Seafood noodles,9.5_Glutinous rice,0.9_Dumplings,5.5",22
08eddef2,"s= Beef with rice,9.5_Soup,3.7_Pork pickled mustard green noodles,10",22
1b2aa3b9,"s= Pork Chop with rice,9.5_Egg Soup,3.2",22
4d16abbe,"s= Karubi Beef,1.2_ Low Fat Yogurt Blackberry,2.5",22
06cf5e91,"s= Hot Chocolate,1.2_Pineapple Pie,2.5",22
cbfb48c2,"s= French Fries,1.2_Vegetable Seafood Soup,2.5",22
ae82c759,"s= Big Burger,1.2_Bone Soup,2.5",66
db7fc595,"s= Big Mac,2.2_McChicken,1.5",22
ba71aaaf,"s= Rice,1.2_Chicken Soup,2.5",22
fe233057,"s= Hamburger,5_Cola,2_Chicken,10.5",22
c360f233,Looking for @ControllerAdvice: <*> startup date <*> <*> <*> <*> CST 2022]; root of context hierarchy,750
1832bb68,"Creating filter chain: org.springframework.boot.actuate.autoconfigure.ManagementWebSecurityAutoConfiguration$LazyEndpointPathRequestMatcher@5170bcf4, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2812b107, org.springframework.security.web.context.SecurityContextPersistenceFilter@6fa34d52, org.springframework.security.web.header.HeaderWriterFilter@61eaec38, org.springframework.web.filter.CorsFilter@df6620a, org.springframework.security.web.authentication.logout.LogoutFilter@67b9b51a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@28d18df5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@57576994, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@616ac46a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4e31276e, org.springframework.security.web.session.SessionManagementFilter@125290e5, org.springframework.security.web.access.ExceptionTranslationFilter@2a225dd7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1d483de4]",10
c2a4e265,Mapped URL path <*> onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],2250
d26f59c4,"Creating filter chain: org.springframework.boot.actuate.autoconfigure.ManagementWebSecurityAutoConfiguration$LazyEndpointPathRequestMatcher@50dfbc58, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4416d64f, org.springframework.security.web.context.SecurityContextPersistenceFilter@5117dd67, org.springframework.security.web.header.HeaderWriterFilter@198d6542, org.springframework.web.filter.CorsFilter@6bf08014, org.springframework.security.web.authentication.logout.LogoutFilter@7674b62c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6aa61224, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5be49b60, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2931522b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5e3d57c7, org.springframework.security.web.session.SessionManagementFilter@5e403b4a, org.springframework.security.web.access.ExceptionTranslationFilter@27d5a580, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@c7045b9]",1
1cfec2c6,"Creating filter chain: org.springframework.boot.actuate.autoconfigure.ManagementWebSecurityAutoConfiguration$LazyEndpointPathRequestMatcher@44c73c26, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@41005828, org.springframework.security.web.context.SecurityContextPersistenceFilter@18e36d14, org.springframework.security.web.header.HeaderWriterFilter@5a5338df, org.springframework.web.filter.CorsFilter@60b4beb4, org.springframework.security.web.authentication.logout.LogoutFilter@302f7971, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6853425f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5082d622, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@13d4992d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7fcf2fc1, org.springframework.security.web.session.SessionManagementFilter@418c5a9c, org.springframework.security.web.access.ExceptionTranslationFilter@6ee4d9ab, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@63eef88a]",1
044cb924,"Creating filter chain: org.springframework.boot.actuate.autoconfigure.ManagementWebSecurityAutoConfiguration$LazyEndpointPathRequestMatcher@7fcf2fc1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2141a12, org.springframework.security.web.context.SecurityContextPersistenceFilter@302f7971, org.springframework.security.web.header.HeaderWriterFilter@5082d622, org.springframework.web.filter.CorsFilter@4196c360, org.springframework.security.web.authentication.logout.LogoutFilter@4278284b, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5a9f4771, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@332729ad, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@75d2da2d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@41294f8, org.springframework.security.web.session.SessionManagementFilter@13d4992d, org.springframework.security.web.access.ExceptionTranslationFilter@18e36d14, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@352c1b98]",4
ee506239,"Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7cb502c, <*> <*> <*> edu.fudan.common.security.jwt.JWTFilter@275bf9b3, <*> <*> org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1b8a29df, <*> <*> org.springframework.security.web.access.intercept.FilterSecurityInterceptor@68f1b17f]",10
5b6fe57c,"Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1672fe87, org.springframework.security.web.context.SecurityContextPersistenceFilter@27d5a580, org.springframework.security.web.header.HeaderWriterFilter@5170bcf4, org.springframework.security.web.authentication.logout.LogoutFilter@662706a7, edu.fudan.common.security.jwt.JWTFilter@5026735c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e403b4a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2931522b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1b45c0e, org.springframework.security.web.session.SessionManagementFilter@df6620a, org.springframework.security.web.access.ExceptionTranslationFilter@78aa1f72, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5c45d770]",1
0d7c8ddd,"Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5cdec700, org.springframework.security.web.context.SecurityContextPersistenceFilter@5495333e, org.springframework.security.web.header.HeaderWriterFilter@2049a9c1, org.springframework.security.web.authentication.logout.LogoutFilter@7ef27d7f, edu.fudan.common.security.jwt.JWTFilter@6d026701, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@61eaec38, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@57576994, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@78aa1f72, org.springframework.security.web.session.SessionManagementFilter@46271dd6, org.springframework.security.web.access.ExceptionTranslationFilter@275bf9b3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2b175c00]",1
31183103,"Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@11f0a5a1, org.springframework.security.web.context.SecurityContextPersistenceFilter@5117dd67, org.springframework.security.web.header.HeaderWriterFilter@4e31276e, org.springframework.security.web.authentication.logout.LogoutFilter@327af41b, edu.fudan.common.security.jwt.JWTFilter@10f7f7de, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2931522b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@662706a7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@73a8da0f, org.springframework.security.web.session.SessionManagementFilter@27d5a580, org.springframework.security.web.access.ExceptionTranslationFilter@4b7dc788, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@147a5d08]",4
1f10f87a,"Creating filter chain: org.springframework.boot.actuate.autoconfigure.ManagementWebSecurityAutoConfiguration$LazyEndpointPathRequestMatcher@3406472c, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5717c37, org.springframework.security.web.context.SecurityContextPersistenceFilter@7d3d101b, org.springframework.security.web.header.HeaderWriterFilter@1ae8bcbc, org.springframework.web.filter.CorsFilter@68f4865, org.springframework.security.web.authentication.logout.LogoutFilter@6d026701, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4e31276e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@30c8681, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5cdec700, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4816278d, org.springframework.security.web.session.SessionManagementFilter@6cdba6dc, org.springframework.security.web.access.ExceptionTranslationFilter@3eb81efb, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2812b107]",2
c2c703fa,"Creating filter chain: org.springframework.boot.actuate.autoconfigure.ManagementWebSecurityAutoConfiguration$LazyEndpointPathRequestMatcher@5d43661b, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@12299890, org.springframework.security.web.context.SecurityContextPersistenceFilter@295cf707, org.springframework.security.web.header.HeaderWriterFilter@748741cb, org.springframework.web.filter.CorsFilter@2fba3fc4, org.springframework.security.web.authentication.logout.LogoutFilter@463fd068, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6692b6c6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1130520d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5f77d0f9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4bf48f6, org.springframework.security.web.session.SessionManagementFilter@3e44f2a5, org.springframework.security.web.access.ExceptionTranslationFilter@2e32ccc5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@bb9e6dc]",1
8174b7e9,"Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, <*> org.springframework.security.web.context.SecurityContextPersistenceFilter@4167d97b, org.springframework.security.web.header.HeaderWriterFilter@68034211, org.springframework.security.web.authentication.logout.LogoutFilter@398dada8, <*> org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6e15fe2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@57ad2aa7, <*> org.springframework.security.web.session.SessionManagementFilter@6c372fe6, org.springframework.security.web.access.ExceptionTranslationFilter@16aa8654, <*>",3
e5f15c1f,Initializing ExecutorService,42
84127b61,"Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4f4c4b1a, org.springframework.security.web.context.SecurityContextPersistenceFilter@6f3187b0, org.springframework.security.web.header.HeaderWriterFilter@3336e6b6, org.springframework.security.web.authentication.logout.LogoutFilter@72ef8d15, edu.fudan.common.security.jwt.JWTFilter@723e88f9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@48b67364, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@42e25b0b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5f0fd5a0, org.springframework.security.web.session.SessionManagementFilter@205d38da, org.springframework.security.web.access.ExceptionTranslationFilter@15a04efb, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7f284218]",1
6e3a69ad,"Mapped <*> || <*> || application/json]}"" onto public <*> <*>",9000
c5daac56,Mapped <*> || <*> onto public <*> <*>,2931
a39ac1a8,"Mapped ""{[/heapdump || /heapdump.json],methods=[GET],produces=[application/octet-stream]}"" onto public void org.springframework.boot.actuate.endpoint.mvc.HeapdumpMvcEndpoint.invoke(boolean,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException,javax.servlet.ServletException",750
d33d009f,"Mapped ""{[/loggers/{name:.*}],methods=[POST],consumes=[application/vnd.spring-boot.actuator.v1+json || application/json],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}"" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.LoggersMvcEndpoint.set(java.lang.String,java.util.Map<java.lang.String, java.lang.String>)",750
e4b5be1d,"Creating filter chain: <*> <*> org.springframework.security.web.context.SecurityContextPersistenceFilter@4f0f2942, org.springframework.security.web.header.HeaderWriterFilter@58e1d9d, <*> org.springframework.security.web.authentication.logout.LogoutFilter@47caedad, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@475c9c31, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2657d4dd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5340477f, <*> org.springframework.security.web.session.SessionManagementFilter@446a1e84, org.springframework.security.web.access.ExceptionTranslationFilter@29d80d2b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@126253fd]",4
1859299e,"Creating filter chain: org.springframework.boot.actuate.autoconfigure.ManagementWebSecurityAutoConfiguration$LazyEndpointPathRequestMatcher@1e16c0aa, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@13d73f29, org.springframework.security.web.context.SecurityContextPersistenceFilter@d2de489, org.springframework.security.web.header.HeaderWriterFilter@2f953efd, org.springframework.web.filter.CorsFilter@565f390, org.springframework.security.web.authentication.logout.LogoutFilter@5a7fe64f, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@37313c65, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@14bdbc74, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@12591ac8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7dc3712, org.springframework.security.web.session.SessionManagementFilter@f68f0dc, org.springframework.security.web.access.ExceptionTranslationFilter@51891008, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@508dec2b]",3
c0162c33,Detected @ExceptionHandler methods in globalExceptionHandler,30
